"Gene"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"DISC1"	0.000284186235953003	9.54615817024542e-07	0.456428280031478	4.90077037323809	2.23685019228629	684.88167812124
"PLA2G4F"	0.000294685369184885	1.00488190835644e-06	0.824192382249623	-4.89068005112583	-4.03086124215811	106.822623647012
"TMEM108"	0.000303134756180586	1.04912273108102e-06	0.560277829738074	4.88219342029214	2.73538473388278	226.049302814363
"ITGB5"	0.00030701977645563	1.07819445111148e-06	0.311823807911509	4.87680221737921	1.52070303785448	7546.89914756233
"LOC101929291"	0.000322373461625548	1.14852108681741e-06	0.341344717739605	4.86431804234279	1.66040926915917	174.225761246
"EPYC"	0.000339506643234823	1.24336689026188e-06	1.13412163318058	4.84859865862869	5.49890062936114	1375.85493575729
"NGFR"	0.000339506643234823	1.24412043530676e-06	0.863904472368661	-4.84847844953986	-4.18862221674055	130.99468645408
"DEPDC1B"	0.0003502768265085	1.31083813481957e-06	0.755272539548965	-4.83810360235695	-3.65408679435313	504.108147126871
"CCN2"	0.0003502768265085	1.31924293371483e-06	0.451049801106879	4.83683282160344	2.18165248217146	3146.29361848692
"OAS2"	0.000360784107669057	1.39173750444357e-06	0.470152954007984	4.82618426547689	2.26904478900081	1862.45690077903
"HSD11B2"	0.000360784107669057	1.39554113308471e-06	1.10630735321545	-4.82564039766113	-5.33864145590604	874.798426329864
"KNTC1"	0.000384064270401282	1.50513786751317e-06	0.224235323309585	-4.81055233362894	-1.07869575782896	544.79131508076
"LEPROTL1"	0.000386032947748386	1.55872708112595e-06	0.287797188214149	4.80355543477132	1.38244974755798	1527.74269250807
"RPS6KA5"	0.000386032947748386	1.54923104402028e-06	0.492382616724191	-4.80477825949698	-2.36578929219063	507.573436517236
"IL13RA2"	0.000386032947748386	1.57179538985499e-06	0.916248039560123	4.80188425920703	4.39971703869305	118.420925179648
"C1QTNF1"	0.000396808623893023	1.63586617138309e-06	0.351232063934393	4.79387942586852	1.68376416500042	4589.59324647527
"C3orf36"	0.000439218151277338	1.83305620952472e-06	0.568609763784951	4.77100870103723	2.71284213051273	38.5400055762343
"SCN7A"	0.000442500187550025	1.87475858789494e-06	1.4096051637108	-4.76647620567397	-6.71884947222268	60.5498901356078
"CCL8"	0.000442500187550025	1.89179640442804e-06	1.03774381390396	4.76465223769494	4.94448838507159	776.033111457744
"PDLIM4"	0.000452403279592911	2.00321077588473e-06	0.418852663602964	4.75310012864829	1.99084864925592	573.205502125896
"LAMB1"	0.000452403279592911	1.98408767282885e-06	0.294823879295366	-4.75503833256166	-1.401898847404	13939.7795465039
"LOC105376126"	0.000452403279592911	1.98969150893342e-06	0.664887899429019	4.75446850875106	3.16118857968491	597.259568122203
"LOC105274304"	0.000453821364493997	2.03258754455781e-06	0.479118531916776	4.75015702626665	2.27588826079904	48.1448503063082
"IFI27"	0.000461820281368433	2.09191800904878e-06	0.658890944831651	4.74433558979156	3.12599975935619	3554.46190620454
"STAT1"	0.000475844062486336	2.17966030251274e-06	0.362843806884972	4.73601075094541	1.71843217032119	5067.86225142152
"SARAF"	0.000512197887774299	2.37225202501329e-06	0.23215769377912	4.71881261759479	1.09550865467662	9320.92691988676
"GREM1"	0.000513815459801002	2.40589486470339e-06	1.06420834032318	4.71594664132165	5.01874974821357	103.294126351203
"NPC2"	0.000589406546675668	2.7898416551729e-06	0.445726422903141	4.68571506748918	2.0885470157753	4400.95288043256
